,year,total_renewable_energy(%),Country_code,country,is_aggregate
1559,1996,7.49690665302804,OED,OECD members,True
1562,1996,21.6613811396229,LTE,Late-demographic dividend,True
1564,1996,8.07345883268204,EUU,European Union,True
1569,1996,29.3934535098306,LCN,Latin America & Caribbean,True
1579,1996,5.65730566357371,TEC,Europe & Central Asia (IDA & IBRD countries),True
1588,1996,72.4116833248631,TSS,Sub-Saharan Africa (IDA & IBRD countries),True
1591,1996,72.4262030273364,SSA,Sub-Saharan Africa (excluding high income),True
1601,1996,29.3438043571292,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
1609,1996,8.29530165149983,CEB,Central Europe and the Baltics,True
1610,1996,29.5253499233092,LAC,Latin America & Caribbean (excluding high income),True
1611,1996,7.37681981811292,ECA,Europe & Central Asia (excluding high income),True
1618,1996,85.0475698706035,LDC,Least developed countries: UN classification,True
1620,1996,32.0798177934702,EAR,Early-demographic dividend,True
1628,1996,7.05736624072152,ECS,Europe & Central Asia,True
1634,1996,17.4450890685685,WLD,World,True
1635,1996,6.73571549940529,NAC,North America,True
1646,1996,7.21005197372617,EMU,Euro area,True
1651,1996,32.7624716851631,MIC,Middle income,True
1655,1996,34.3036494994648,LMY,Low & middle income,True
1672,1996,33.0371703394575,TEA,East Asia & Pacific (IDA & IBRD countries),True
1683,1996,10.0557192907604,MEA,"Middle East, North Africa, Afghanistan & Pakistan",True
1688,1996,32.6485101188853,EAP,East Asia & Pacific (excluding high income),True
1692,1996,23.2626329985884,EAS,East Asia & Pacific,True
1709,1996,28.4565566458519,SST,Small states,True
1716,1996,29.1436799685133,IBT,IDA & IBRD total,True
1719,1996,6.97932720704386,ARB,Arab World,True
1724,1996,63.9292722735762,AFE,Africa Eastern and Southern,True
1736,1997,9.01599503858875,CEB,Central Europe and the Baltics,True
1737,1997,28.8566396025853,LAC,Latin America & Caribbean (excluding high income),True
1738,1997,7.44012641312512,ECA,Europe & Central Asia (excluding high income),True
1742,1997,23.5791147507259,IBD,IBRD only,True
1747,1997,83.9110585305106,AFW,Africa Western and Central,True
1753,1997,7.00524822122692,ARB,Arab World,True
1755,1997,6.67169308827303,PST,Post-demographic dividend,True
1757,1997,61.0329102815095,IDB,IDA blend,True
1759,1997,29.1293073490149,IBT,IDA & IBRD total,True
1763,1997,32.0601337356951,EAP,East Asia & Pacific (excluding high income),True
1770,1997,78.3647221209438,PRE,Pre-demographic dividend,True
1773,1997,43.2370572207084,PSS,Pacific island small states,True
1779,1997,13.8701261273479,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True
1791,1997,32.4201450547054,TEA,East Asia & Pacific (IDA & IBRD countries),True
1797,1997,23.0091688333059,EAS,East Asia & Pacific,True
1802,1997,50.0797835122965,SAS,South Asia,True
1803,1997,10.6310846560847,CSS,Caribbean small states,True
1811,1997,9.9813177161928,MEA,"Middle East, North Africa, Afghanistan & Pakistan",True
1814,1997,77.8462844702467,IDX,IDA only,True
1826,1997,33.0027671022291,OSS,Other small states,True
1832,1997,50.0797835122965,TSA,South Asia (IDA & IBRD),True
1851,1997,69.1358829084042,IDA,IDA total,True
1860,1997,7.34820848371101,EMU,Euro area,True
1865,1997,8.47444703519773,EUU,European Union,True
1873,1997,32.346063419036,MIC,Middle income,True
